mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_stft_mean,spectral_contrast_mean,tonnetz_mean,tempo,file
-82.19091,59.95083,-21.788868,13.19494,3.2524908,-2.879693,-7.1367254,4.177735,-4.3842473,7.05792,-6.275762,-3.1119463,-2.3442519,0.40479106,23.541369316222863,-0.041243263036112005,99.38401442307692,Nefrat - hiphopologist
-78.451324,77.538864,18.628681,25.48928,1.7511332,9.60849,-4.5045786,3.372627,-0.13428666,-2.0702195,-0.21562235,-0.50719386,-2.5657802,0.44061422,22.33292689803479,0.019668716232980155,83.35433467741936,Havaliye Shab
-193.54526,83.016464,-1.2628682,-1.3290598,0.770619,-2.080438,-10.987043,0.23660251,-23.635954,-6.0982747,-15.365862,-7.707987,-14.567411,0.2880102,24.699460398331595,-0.05482667509272893,89.10290948275862,Sammi ⧸ Ye Ruz Hame Miran (Ft. Mr. Mp)
-114.834785,114.12559,20.530436,21.688454,9.287349,15.046696,2.210079,2.9171135,-0.6691235,4.518048,0.086516626,4.4923434,-2.3328938,0.3976128,22.503522180507222,-0.03510580872243114,112.34714673913044,Wantons - Harchiam Beshe (Ft Nassim & AFX) [128].wav
-79.67994,88.636475,25.103386,28.435757,11.085103,7.5513716,5.9991527,6.5656514,-3.3537738,9.031701,-4.525634,9.788992,-1.8208137,0.45673627,22.960079256606768,0.02254593114323784,117.45383522727273,Pooyan Ardalan X Dara K X Erfan - Backsy
-155.21643,115.68766,24.62323,18.47072,10.436905,12.733691,0.61015475,-1.4488976,-2.46345,-0.91222626,-8.054325,-1.4288266,-4.089296,0.40197012,24.042950725562356,0.02438231978974546,112.34714673913044,Esharate Nazar • اِشاراتِ نَظَر
-46.899464,82.62029,-9.572189,15.335497,11.061188,8.465701,-12.208564,5.6733565,-8.960526,2.6927161,-3.2302551,4.773364,1.3888066,0.39619264,22.89054775980586,-0.03393953127197628,135.99917763157896,Dare Mire
-87.97481,84.96312,5.5716777,24.628582,9.326472,-2.3317034,2.800062,-0.59904605,-14.309981,6.8305583,-7.7753263,-0.38341692,1.5490535,0.3841721,24.5905816822527,0.05314758204804788,99.38401442307692,Belaad Party
-123.87703,99.199425,20.779034,10.668638,0.2662355,2.9477065,-4.3218,2.402291,-14.168814,-9.116558,-12.664547,-7.7938395,-7.160421,0.30348665,23.63915290893441,-0.0244733210947429,89.10290948275862,Erade kon- arta (koorosh Catchybeatz
-94.58287,96.61377,18.97227,22.616627,15.859737,12.456141,-0.86233675,6.2075963,-15.3682575,0.08280669,-10.612825,1.0385927,-5.213748,0.3392746,25.72254234893377,0.04460522132215478,117.45383522727273,Zemeston
-168.5035,78.15816,17.274628,11.956135,8.030868,4.582643,-5.3455334,-0.39107734,-9.37247,-2.4925346,-5.3937,-0.5667237,-8.340126,0.35769206,22.690483328302694,0.00559661916602467,89.10290948275862,Sepehr khalse Ghalbe Banafsh
-80.30217,86.800766,4.557624,27.674706,10.00378,9.417879,0.6793309,10.001424,-5.4468007,6.855636,3.5068095,7.772944,4.244792,0.46677914,22.110006159726442,-0.000945859647731486,89.10290948275862,"Loco (with Putak, Sepehr Khalse & Young Sudden)"
-93.26245,87.7751,20.463669,8.4806795,9.368274,7.5243206,-4.1572604,2.9839308,-11.960564,-0.4625402,-4.4889855,1.0665272,-1.9616762,0.40781793,22.874706499494785,-0.023241576564144897,117.45383522727273,Game Of Tehroon
-60.3055,97.83717,7.2720447,5.368533,7.2750688,3.437661,-3.9869688,1.2553397,-6.980373,0.8144901,-3.48644,1.4671926,-3.8767512,0.3783156,22.520511557052362,-0.029876266533939766,69.83741554054055,Ye Ja Dige (ft. Shayan Eshraghi)
-125.24153,101.47384,21.241804,16.1656,7.0103984,3.423363,-2.0001318,-2.3445618,-7.5309587,4.1281247,0.89586604,5.9604206,1.6092516,0.43499202,22.488331749515382,-0.025606669131889914,117.45383522727273,Zendegi Hamine
-69.69273,87.48772,15.491499,22.186073,11.261773,3.0253677,0.18657787,3.6443493,-6.377613,2.4054391,-1.0225568,3.1795955,-0.9146601,0.4317995,22.176384886279333,-0.02472408034704784,103.359375,Sigare Sorati - Pidar x Vinak x Tiem x Spad
-104.363045,113.3545,38.471798,10.385503,8.717499,6.3912163,-0.79703254,4.169091,-6.06409,3.5102706,0.45806158,0.69066334,0.8944029,0.36023316,23.026875418555033,0.03797809916450364,161.4990234375,Dead Inside
-111.63219,92.72758,-8.985155,28.444517,8.255722,-0.5349495,6.5340486,-1.2830082,-7.523234,5.6459126,-2.50494,4.398489,2.6707456,0.4173389,24.53406464446059,0.007414589374714748,89.10290948275862,Bad Zat - Hiphopologist
